_unit_id,_id,_worker_id,clickedforval,ev0a,ev0b,ev1a,ev1b,ev2a,ev2b,ev3a,ev3b,ev4a,ev4b,ev5a,ev5b,ev6a,ev6b,ev7a,ev7b,ev8a,ev8b,forvalidation,selectedforval,tweet1irrelevant,tweet1isgreyed,tweet1novel,tweet2irrelevant,tweet2isgreyed,tweet2novel,tweetsequal,ptid1,ptid2,seedindex1,seedindex2,text1,text2
769853509,1713100454,25257275,true,5,18,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
769853509,1713109350,16101132,false,,,,,,,,,,,,,,,,,,,validated,false,false,false,false,true,true,false,false,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
769853509,1713112781,29155723,true,4,0,5,15,6,16,7,17,8,18,9,19,11,,13,,14,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
769853509,1713115848,23503585,true,4,0,5,15,6,16,14,17,8,18,9,19,13,,11,,12,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
769853509,1713121848,29849805,true,4,0,5,17,6,18,15,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
769853509,1713122133,9653950,true,4,0,5,17,6,18,8,19,9,NA,10,15,11,16,14,NA,13,NA,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
769853509,1713122977,32338429,true,4,17,5,18,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
769853509,1713123567,28351359,true,8,,9,,11,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
769853509,1713126530,4711962,true,5,18,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
769853509,1713127394,6344072,true,4,17,5,18,,19,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
769853509,1713127731,33500282,true,,0,,1,,2,,4,,3,,6,,7,,5,,NA,validated,true,false,false,false,false,false,true,false,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
769853509,1713139172,20113482,true,4,0,5,16,6,17,8,15,7,18,9,19,11,NA,14,NA,13,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
769853509,1713140972,29688905,true,5,18,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
769853509,1713141068,27934334,true,4,15,5,16,6,17,7,18,11,,12,,13,,14,,,,validated,true,false,false,false,false,false,false,true,entity/text/news/tweet/38617,entity/text/news/tweet/38814,1003tid001,1003tid002,@CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡 #tweet4taiji #AnimalRights,@SeaWorld is it true you guys made money off the Iraq war did 9/11 and secretly fund Japanese whaling ships?
