worker_ID,tweet_ID,relevant,irrelevant
30326470,entity/text/news/tweet/38804,0,1
28884030,entity/text/news/tweet/38804,0,1
19913374,entity/text/news/tweet/38804,1,0
4711962,entity/text/news/tweet/38804,1,0
19302668,entity/text/news/tweet/38804,1,0
28351359,entity/text/news/tweet/38804,1,0
29849805,entity/text/news/tweet/38804,0,1
33467170,entity/text/news/tweet/38804,1,0
31906954,entity/text/news/tweet/38804,1,0
27934334,entity/text/news/tweet/38804,0,1
28513920,entity/text/news/tweet/38804,1,0
11382239,entity/text/news/tweet/38804,0,1
13581319,entity/text/news/tweet/38804,1,0
32916723,entity/text/news/tweet/38804,1,0
20113482,entity/text/news/tweet/38804,0,1
27753923,entity/text/news/tweet/38804,1,0
32424428,entity/text/news/tweet/38804,1,0
32292681,entity/text/news/tweet/38804,1,0
29155723,entity/text/news/tweet/38804,0,1
3587109,entity/text/news/tweet/38804,1,0
33761260,entity/text/news/tweet/38804,0,1
14353703,entity/text/news/tweet/38804,0,1
33271440,entity/text/news/tweet/38804,0,1
33230986,entity/text/news/tweet/38804,1,0
28524232,entity/text/news/tweet/38804,0,1
16101132,entity/text/news/tweet/38804,0,1
24449707,entity/text/news/tweet/38804,1,0
30137403,entity/text/news/tweet/38804,1,0
31743852,entity/text/news/tweet/38804,0,1
21613169,entity/text/news/tweet/38804,0,1
27753923,entity/text/news/tweet/38693,1,0
32292681,entity/text/news/tweet/38693,1,0
32424428,entity/text/news/tweet/38693,1,0
29155723,entity/text/news/tweet/38693,1,0
3587109,entity/text/news/tweet/38693,1,0
33761260,entity/text/news/tweet/38693,1,0
14353703,entity/text/news/tweet/38693,1,0
33271440,entity/text/news/tweet/38693,0,1
33230986,entity/text/news/tweet/38693,1,0
28524232,entity/text/news/tweet/38693,1,0
16101132,entity/text/news/tweet/38693,1,0
24449707,entity/text/news/tweet/38693,1,0
30137403,entity/text/news/tweet/38693,1,0
31743852,entity/text/news/tweet/38693,1,0
21613169,entity/text/news/tweet/38693,1,0
30326470,entity/text/news/tweet/38693,1,0
19913374,entity/text/news/tweet/38693,1,0
28884030,entity/text/news/tweet/38693,0,1
4711962,entity/text/news/tweet/38693,1,0
19302668,entity/text/news/tweet/38693,1,0
28351359,entity/text/news/tweet/38693,1,0
29849805,entity/text/news/tweet/38693,1,0
33467170,entity/text/news/tweet/38693,1,0
31906954,entity/text/news/tweet/38693,1,0
27934334,entity/text/news/tweet/38693,1,0
28513920,entity/text/news/tweet/38693,1,0
20113482,entity/text/news/tweet/38693,1,0
32916723,entity/text/news/tweet/38693,1,0
11382239,entity/text/news/tweet/38693,1,0
13581319,entity/text/news/tweet/38693,1,0
27753923,entity/text/news/tweet/38901,1,0
32292681,entity/text/news/tweet/38901,1,0
32424428,entity/text/news/tweet/38901,1,0
29155723,entity/text/news/tweet/38901,1,0
3587109,entity/text/news/tweet/38901,1,0
33761260,entity/text/news/tweet/38901,1,0
14353703,entity/text/news/tweet/38901,1,0
33271440,entity/text/news/tweet/38901,0,1
33230986,entity/text/news/tweet/38901,1,0
28524232,entity/text/news/tweet/38901,1,0
16101132,entity/text/news/tweet/38901,1,0
24449707,entity/text/news/tweet/38901,1,0
30137403,entity/text/news/tweet/38901,1,0
31743852,entity/text/news/tweet/38901,1,0
21613169,entity/text/news/tweet/38901,1,0
30326470,entity/text/news/tweet/38901,1,0
19913374,entity/text/news/tweet/38901,1,0
28884030,entity/text/news/tweet/38901,0,1
4711962,entity/text/news/tweet/38901,1,0
19302668,entity/text/news/tweet/38901,1,0
28351359,entity/text/news/tweet/38901,1,0
29849805,entity/text/news/tweet/38901,1,0
33467170,entity/text/news/tweet/38901,1,0
31906954,entity/text/news/tweet/38901,1,0
28513920,entity/text/news/tweet/38901,1,0
27934334,entity/text/news/tweet/38901,1,0
32916723,entity/text/news/tweet/38901,1,0
20113482,entity/text/news/tweet/38901,1,0
11382239,entity/text/news/tweet/38901,1,0
13581319,entity/text/news/tweet/38901,1,0
30326470,entity/text/news/tweet/38695,1,0
19913374,entity/text/news/tweet/38695,1,0
28884030,entity/text/news/tweet/38695,0,1
4711962,entity/text/news/tweet/38695,1,0
19302668,entity/text/news/tweet/38695,1,0
28351359,entity/text/news/tweet/38695,1,0
29849805,entity/text/news/tweet/38695,1,0
33467170,entity/text/news/tweet/38695,1,0
31906954,entity/text/news/tweet/38695,1,0
27934334,entity/text/news/tweet/38695,1,0
28513920,entity/text/news/tweet/38695,0,1
32916723,entity/text/news/tweet/38695,1,0
20113482,entity/text/news/tweet/38695,1,0
11382239,entity/text/news/tweet/38695,1,0
13581319,entity/text/news/tweet/38695,1,0
27753923,entity/text/news/tweet/38695,1,0
32424428,entity/text/news/tweet/38695,1,0
32292681,entity/text/news/tweet/38695,1,0
29155723,entity/text/news/tweet/38695,1,0
3587109,entity/text/news/tweet/38695,1,0
33761260,entity/text/news/tweet/38695,1,0
14353703,entity/text/news/tweet/38695,1,0
33271440,entity/text/news/tweet/38695,0,1
33230986,entity/text/news/tweet/38695,1,0
28524232,entity/text/news/tweet/38695,1,0
16101132,entity/text/news/tweet/38695,1,0
24449707,entity/text/news/tweet/38695,1,0
30137403,entity/text/news/tweet/38695,1,0
31743852,entity/text/news/tweet/38695,1,0
21613169,entity/text/news/tweet/38695,1,0
27753923,entity/text/news/tweet/38733,1,0
32292681,entity/text/news/tweet/38733,1,0
32424428,entity/text/news/tweet/38733,1,0
29155723,entity/text/news/tweet/38733,1,0
3587109,entity/text/news/tweet/38733,1,0
33761260,entity/text/news/tweet/38733,1,0
14353703,entity/text/news/tweet/38733,1,0
33271440,entity/text/news/tweet/38733,0,1
33230986,entity/text/news/tweet/38733,1,0
28524232,entity/text/news/tweet/38733,1,0
16101132,entity/text/news/tweet/38733,1,0
24449707,entity/text/news/tweet/38733,1,0
30137403,entity/text/news/tweet/38733,1,0
31743852,entity/text/news/tweet/38733,1,0
21613169,entity/text/news/tweet/38733,1,0
30326470,entity/text/news/tweet/38733,1,0
28884030,entity/text/news/tweet/38733,0,1
19913374,entity/text/news/tweet/38733,1,0
4711962,entity/text/news/tweet/38733,1,0
19302668,entity/text/news/tweet/38733,1,0
28351359,entity/text/news/tweet/38733,1,0
29849805,entity/text/news/tweet/38733,1,0
33467170,entity/text/news/tweet/38733,1,0
31906954,entity/text/news/tweet/38733,1,0
28513920,entity/text/news/tweet/38733,0,1
27934334,entity/text/news/tweet/38733,1,0
13581319,entity/text/news/tweet/38733,1,0
11382239,entity/text/news/tweet/38733,1,0
32916723,entity/text/news/tweet/38733,1,0
20113482,entity/text/news/tweet/38733,1,0
30326470,entity/text/news/tweet/38612,1,0
19913374,entity/text/news/tweet/38612,1,0
28884030,entity/text/news/tweet/38612,0,1
4711962,entity/text/news/tweet/38612,1,0
19302668,entity/text/news/tweet/38612,1,0
28351359,entity/text/news/tweet/38612,1,0
29849805,entity/text/news/tweet/38612,1,0
33467170,entity/text/news/tweet/38612,1,0
31906954,entity/text/news/tweet/38612,1,0
28513920,entity/text/news/tweet/38612,1,0
27934334,entity/text/news/tweet/38612,1,0
11382239,entity/text/news/tweet/38612,1,0
32916723,entity/text/news/tweet/38612,1,0
13581319,entity/text/news/tweet/38612,1,0
20113482,entity/text/news/tweet/38612,1,0
30326470,entity/text/news/tweet/38612,1,0
19913374,entity/text/news/tweet/38612,1,0
28884030,entity/text/news/tweet/38612,0,1
4711962,entity/text/news/tweet/38612,1,0
19302668,entity/text/news/tweet/38612,1,0
28351359,entity/text/news/tweet/38612,1,0
29849805,entity/text/news/tweet/38612,1,0
33467170,entity/text/news/tweet/38612,1,0
31906954,entity/text/news/tweet/38612,1,0
28513920,entity/text/news/tweet/38612,1,0
27934334,entity/text/news/tweet/38612,1,0
32916723,entity/text/news/tweet/38612,1,0
20113482,entity/text/news/tweet/38612,1,0
11382239,entity/text/news/tweet/38612,1,0
13581319,entity/text/news/tweet/38612,1,0
30326470,entity/text/news/tweet/38635,1,0
19913374,entity/text/news/tweet/38635,1,0
28884030,entity/text/news/tweet/38635,0,1
4711962,entity/text/news/tweet/38635,1,0
19302668,entity/text/news/tweet/38635,1,0
28351359,entity/text/news/tweet/38635,0,1
29849805,entity/text/news/tweet/38635,0,1
33467170,entity/text/news/tweet/38635,1,0
31906954,entity/text/news/tweet/38635,1,0
27934334,entity/text/news/tweet/38635,0,1
28513920,entity/text/news/tweet/38635,1,0
32916723,entity/text/news/tweet/38635,1,0
20113482,entity/text/news/tweet/38635,0,1
11382239,entity/text/news/tweet/38635,0,1
13581319,entity/text/news/tweet/38635,1,0
30326470,entity/text/news/tweet/38635,1,0
28884030,entity/text/news/tweet/38635,0,1
