worker_ID,avg_words,,,
6330007,2.9545454545454546,,,
31670127,2.2857142857142856,,,
9653950,5.545454545454546,,,
32306192,1.2272727272727273,,,
29155723,6.1,,,
4711962,1,,,
25257275,1.1071428571428572,,,
20043586,1.8928571428571428,,,
33761260,3.6363636363636362,,,
23503585,5.607142857142857,,,
4688131,1.1428571428571428,,,
30137403,7.318181818181818,,,
33565158,3.75,,,
29849805,3.6785714285714284,,,
31743852,2,,,
31184650,0.9285714285714286,,,
33725995,1.8571428571428572,,,
20113482,3.0714285714285716,,,
22166359,3.8214285714285716,,,
33538351,3.7142857142857144,,,
2143114,0.5,,,
33903622,5.071428571428571,,,
32352104,0.7857142857142857,,,
21665495,0.8571428571428571,,,
19913374,1,,,
22222103,1.5,,,
24449707,2.75,,,
31304413,1.75,,,
33467170,0.6428571428571429,,,
32338429,1.0357142857142858,,,
31695021,3.909090909090909,,,
17950689,1.4642857142857142,,,
22141613,0,,,
16101132,0.6785714285714286,,,
6344072,1.75,,,
20929875,3.7857142857142856,,,
33500282,3,,,
32053642,3.9642857142857144,,,
33271440,0,,,
29209955,1.1818181818181819,,,
27934334,2.727272727272727,,,
31443509,2,,,
18990100,3.357142857142857,,,
34053021,5.821428571428571,,,
3587109,1.8928571428571428,,,
33294824,1.6818181818181819,,,
29688905,1.3928571428571428,,,
28884030,0,,,
