worker_ID,tweet_ID,relevant,irrelevant
13581319,entity/text/news/tweet/38585,1,0
30901412,entity/text/news/tweet/38585,1,0
29209955,entity/text/news/tweet/38585,1,0
29155723,entity/text/news/tweet/38585,1,0
15577915,entity/text/news/tweet/38585,1,0
21613169,entity/text/news/tweet/38585,1,0
29216552,entity/text/news/tweet/38585,1,0
27934334,entity/text/news/tweet/38585,0,1
6344072,entity/text/news/tweet/38585,1,0
28513920,entity/text/news/tweet/38585,1,0
32303982,entity/text/news/tweet/38585,1,0
24043308,entity/text/news/tweet/38585,1,0
4711962,entity/text/news/tweet/38585,1,0
32292681,entity/text/news/tweet/38585,1,0
31906954,entity/text/news/tweet/38585,1,0
13581319,entity/text/news/tweet/38585,1,0
30901412,entity/text/news/tweet/38585,1,0
29209955,entity/text/news/tweet/38585,1,0
29155723,entity/text/news/tweet/38585,1,0
15577915,entity/text/news/tweet/38585,1,0
21613169,entity/text/news/tweet/38585,1,0
29216552,entity/text/news/tweet/38585,1,0
27934334,entity/text/news/tweet/38585,0,1
6344072,entity/text/news/tweet/38585,1,0
28513920,entity/text/news/tweet/38585,1,0
32303982,entity/text/news/tweet/38585,1,0
24043308,entity/text/news/tweet/38585,1,0
4711962,entity/text/news/tweet/38585,1,0
32292681,entity/text/news/tweet/38585,1,0
31906954,entity/text/news/tweet/38585,1,0
25257275,entity/text/news/tweet/38585,1,0
27753923,entity/text/news/tweet/38585,1,0
21490235,entity/text/news/tweet/38585,1,0
2143114,entity/text/news/tweet/38585,1,0
23503585,entity/text/news/tweet/38585,1,0
20312760,entity/text/news/tweet/38585,1,0
28524232,entity/text/news/tweet/38585,1,0
20043586,entity/text/news/tweet/38585,1,0
20506920,entity/text/news/tweet/38585,1,0
18990100,entity/text/news/tweet/38585,1,0
28351359,entity/text/news/tweet/38585,1,0
31184650,entity/text/news/tweet/38585,1,0
33294824,entity/text/news/tweet/38585,1,0
22166359,entity/text/news/tweet/38585,1,0
33538351,entity/text/news/tweet/38585,1,0
30901412,entity/text/news/tweet/38670,1,0
29209955,entity/text/news/tweet/38670,1,0
21613169,entity/text/news/tweet/38670,1,0
6344072,entity/text/news/tweet/38670,1,0
28513920,entity/text/news/tweet/38670,1,0
13581319,entity/text/news/tweet/38670,1,0
24043308,entity/text/news/tweet/38670,1,0
20113482,entity/text/news/tweet/38670,1,0
29849805,entity/text/news/tweet/38670,1,0
31256687,entity/text/news/tweet/38670,1,0
33761260,entity/text/news/tweet/38670,1,0
28103910,entity/text/news/tweet/38670,1,0
