worker_ID,avg_words,,,
11382239,3.5,,,
29096504,2.1363636363636362,,,
30779198,2,,,
32292681,1,,,
8260660,2.6944444444444446,,,
31861996,0.9722222222222222,,,
21490235,1.4230769230769231,,,
4711962,1,,,
33330229,4.653846153846154,,,
15439740,5.076923076923077,,,
28103910,1.3888888888888888,,,
25257275,1,,,
20043586,3.4444444444444446,,,
33761260,3.361111111111111,,,
23503585,7.25,,,
4688131,1.2222222222222223,,,
15577915,1.5,,,
33565158,3.0555555555555554,,,
24449707,2.6666666666666665,,,
30901412,1.75,,,
31184650,1.1538461538461537,,,
31256687,1.1944444444444444,,,
22388850,1.7222222222222223,,,
20113482,4.888888888888889,,,
22166359,2.9705882352941178,,,
2143114,0.5,,,
31906954,1,,,
19498096,1.6944444444444444,,,
19913374,1,,,
31304413,1.7352941176470589,,,
33467170,1,,,
17950689,1.1153846153846154,,,
28351359,1.3333333333333333,,,
24043308,4.875,,,
14086483,1.3055555555555556,,,
29155723,3.8846153846153846,,,
7051387,5.178571428571429,,,
33271440,0,,,
28513920,1.0833333333333333,,,
27934334,3.923076923076923,,,
32424428,3.1944444444444446,,,
18990100,5.833333333333333,,,
21613169,1.9615384615384615,,,
13581319,1.5,,,
3587109,1.5833333333333333,,,
14321493,2.0277777777777777,,,
29849805,4.861111111111111,,,
33793607,2.9166666666666665,,,
