_unit_id,_id,_worker_id,clickedforval,ev0a,ev0b,ev1a,ev1b,ev2a,ev2b,ev3a,ev3b,ev4a,ev4b,ev5a,ev5b,ev6a,ev6b,ev7a,ev7b,ev8a,ev8b,selectedforval,tweet1irrelevant,tweet1isgreyed,tweet1novel,tweet2irrelevant,tweet2isgreyed,tweet2novel,tweetsequal,ptid1,ptid2,seedindex1,seedindex2,text1,text2
769942910,1711039360,31743852,true,0,3,3,5,4,4,5,8,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711171163,29248520,true,0,1,1,3,3,5,4,8,5,7,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711222397,31304413,true,5,8,,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711231848,32916723,true,1,3,3,4,5,7,4,8,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711248455,32840743,true,5,8,,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711254030,21665495,true,5,8,,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711287035,11521789,true,0,1,1,3,3,5,4,6,7,7,8,8,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711310332,29209955,true,11,1,1,3,3,8,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711364904,15577915,true,8,,9,,10,,11,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711398146,27753923,true,4,,,,,,,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711405953,31184650,true,5,8,11,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711439976,33727304,true,,1,,3,,5,,8,,7,,,,,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711445233,24449707,true,0,5,3,7,4,8,5,,10,,11,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711448676,32987272,true,5,8,11,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942910,1711462028,18672993,true,10,8,11,7,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38893,0903tid001,0903tid002,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,#IFAW Keeping the pressure on Japan to stop whaling 
769942911,1711515051,23503585,true,0,0,3,11,4,19,5,5,7,6,8,15,9,8,10,9,11,12,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38698,0903tid001,0903tid014,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Canada is the only major whaling nation that left IWC. Canada realized IWC is not about sustainable hunting but conservation. #Tweet4Taiji
769942911,1711645009,30482004,true,,0,,8,,9,,,,,,,,,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38789,entity/text/news/tweet/38698,0903tid001,0903tid014,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Canada is the only major whaling nation that left IWC. Canada realized IWC is not about sustainable hunting but conservation. #Tweet4Taiji
769942911,1711648296,22141613,false,,,,,,,,,,,,,,,,,,,false,true,true,false,false,false,false,false,entity/text/news/tweet/38789,entity/text/news/tweet/38698,0903tid001,0903tid014,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Canada is the only major whaling nation that left IWC. Canada realized IWC is not about sustainable hunting but conservation. #Tweet4Taiji
769942911,1711669711,16654434,true,4,0,5,4,,5,,6,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38698,0903tid001,0903tid014,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Canada is the only major whaling nation that left IWC. Canada realized IWC is not about sustainable hunting but conservation. #Tweet4Taiji
769942911,1712182149,31065274,true,0,0,3,3,5,4,4,5,,6,,9,,8,,NA,,NA,true,false,false,false,false,false,true,false,entity/text/news/tweet/38789,entity/text/news/tweet/38698,0903tid001,0903tid014,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Canada is the only major whaling nation that left IWC. Canada realized IWC is not about sustainable hunting but conservation. #Tweet4Taiji
769942911,1712188083,33453357,true,11,20,5,5,,,,,,,,,,,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38789,entity/text/news/tweet/38698,0903tid001,0903tid014,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Canada is the only major whaling nation that left IWC. Canada realized IWC is not about sustainable hunting but conservation. #Tweet4Taiji
769942911,1712191254,18990100,true,0,0,3,3,4,4,5,5,8,6,7,9,10,8,11,19,,16,true,false,false,false,false,false,true,false,entity/text/news/tweet/38789,entity/text/news/tweet/38698,0903tid001,0903tid014,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Canada is the only major whaling nation that left IWC. Canada realized IWC is not about sustainable hunting but conservation. #Tweet4Taiji
769942911,1712227167,33467170,true,11,5,,,,,,,,,,,,,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38789,entity/text/news/tweet/38698,0903tid001,0903tid014,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Canada is the only major whaling nation that left IWC. Canada realized IWC is not about sustainable hunting but conservation. #Tweet4Taiji
