_unit_id,_golden,_id,_worker_id,clickedforval,ev0a,ev0b,ev1a,ev1b,ev2a,ev2b,ev3a,ev3b,ev4a,ev4b,ev5a,ev5b,ev6a,ev6b,ev7a,ev7b,ev8a,ev8b,selectedforval,tweet1irrelevant,tweet1isgreyed,tweet1novel,tweet2irrelevant,tweet2isgreyed,tweet2novel,tweetsequal,ptid1,ptid2,seedindex1,seedindex2,text1,text2
769565062,false,1709656744,17950689,true,0,8,1,9,2,,3,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38841,0903tid001,0903tid010,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk
769565062,false,1709657200,22141613,false,,,,,,,,,,,,,,,,,,,false,true,true,false,false,false,false,false,entity/text/news/tweet/38789,entity/text/news/tweet/38841,0903tid001,0903tid010,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk
769565062,false,1709667456,28884030,false,,,,,,,,,,,,,,,,,,,false,false,false,false,true,true,false,false,entity/text/news/tweet/38789,entity/text/news/tweet/38841,0903tid001,0903tid010,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk
769565062,false,1709670999,29849805,true,0,5,4,8,5,9,10,17,11,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38841,0903tid001,0903tid010,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk
769565062,false,1709672406,4711962,true,5,9,,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38841,0903tid001,0903tid010,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk
769565062,false,1709673198,32306192,true,4,2,,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38841,0903tid001,0903tid010,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk
769565062,false,1709682197,32053642,true,0,5,4,7,5,8,8,9,10,,11,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38789,entity/text/news/tweet/38841,0903tid001,0903tid010,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk
769565062,false,1709785143,30779198,true,,0,,2,,4,,5,,7,,8,,9,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38789,entity/text/news/tweet/38841,0903tid001,0903tid010,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk
769565062,false,1709815794,4688131,true,,9,,8,,,,,,,,,,,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38789,entity/text/news/tweet/38841,0903tid001,0903tid010,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk
769565062,false,1709834431,20113482,true,7,,8,,9,,10,,11,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38789,entity/text/news/tweet/38841,0903tid001,0903tid010,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk
769565062,false,1709847671,31304413,true,5,9,11,8,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38841,0903tid001,0903tid010,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk
769565062,false,1709877022,22535866,true,5,9,4,,,,,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38789,entity/text/news/tweet/38841,0903tid001,0903tid010,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk
