_unit_id,_id,_tainted,_worker_id,clickedforval,ev0a,ev0b,ev1a,ev1b,ev2a,ev2b,ev3a,ev3b,ev4a,ev4b,ev5a,ev5b,ev6a,ev6b,ev7a,ev7b,ev8a,ev8b,selectedforval,tweet1irrelevant,tweet1isgreyed,tweet1novel,tweet2irrelevant,tweet2isgreyed,tweet2novel,tweetsequal,ptid1,ptid2,seedindex1,seedindex2,text1,text2
769563675,1710724906,false,22222103,true,3,2,4,1,5,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38667,0903tid001,0903tid006,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Support whale watching in Iceland and help end whaling 
769563675,1710768010,false,30137403,true,0,0,1,1,3,2,4,4,5,6,10,7,11,8,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38667,0903tid001,0903tid006,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Support whale watching in Iceland and help end whaling 
769563675,1710799368,false,24449707,true,0,0,3,1,4,2,5,4,10,6,11,7,,8,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38789,entity/text/news/tweet/38667,0903tid001,0903tid006,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Support whale watching in Iceland and help end whaling 
769563675,1710858264,false,8260660,true,,0,,1,,2,,4,,5,,6,,8,,7,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38789,entity/text/news/tweet/38667,0903tid001,0903tid006,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Support whale watching in Iceland and help end whaling 
769563675,1710859021,false,19302668,true,0,1,5,8,11,,,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38789,entity/text/news/tweet/38667,0903tid001,0903tid006,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Support whale watching in Iceland and help end whaling 
769563675,1710877518,false,28790780,true,5,8,4,7,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38667,0903tid001,0903tid006,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Support whale watching in Iceland and help end whaling 
769563675,1710934627,false,14571439,true,5,1,,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38667,0903tid001,0903tid006,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Support whale watching in Iceland and help end whaling 
769563675,1710943799,false,33761260,true,5,8,0,,11,,,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38789,entity/text/news/tweet/38667,0903tid001,0903tid006,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Support whale watching in Iceland and help end whaling 
769563675,1710993375,false,33294824,true,0,8,10,1,11,,,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38789,entity/text/news/tweet/38667,0903tid001,0903tid006,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Support whale watching in Iceland and help end whaling 
769563675,1711033225,false,27042527,true,0,0,3,1,4,2,5,4,7,6,8,7,9,8,10,,11,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38789,entity/text/news/tweet/38667,0903tid001,0903tid006,#Japan needs to stop killing #Whales. The Big Lie Behind Japanese Whaling  ,Support whale watching in Iceland and help end whaling 
