worker_ID,tweet_ID,relevant,irrelevant
33500282,entity/text/news/tweet/38789,1,0
31613324,entity/text/news/tweet/38789,0,1
31065274,entity/text/news/tweet/38789,1,0
18990100,entity/text/news/tweet/38789,1,0
33453357,entity/text/news/tweet/38789,1,0
22222103,entity/text/news/tweet/38789,1,0
32352104,entity/text/news/tweet/38789,1,0
27934334,entity/text/news/tweet/38789,1,0
31304413,entity/text/news/tweet/38789,1,0
13581319,entity/text/news/tweet/38789,1,0
29849805,entity/text/news/tweet/38789,1,0
4711962,entity/text/news/tweet/38789,1,0
20113482,entity/text/news/tweet/38789,1,0
15577915,entity/text/news/tweet/38789,1,0
33725995,entity/text/news/tweet/38789,1,0
16101132,entity/text/news/tweet/38789,0,1
27753923,entity/text/news/tweet/38789,0,1
31184650,entity/text/news/tweet/38789,0,1
32338429,entity/text/news/tweet/38789,1,0
20312760,entity/text/news/tweet/38789,0,1
33761260,entity/text/news/tweet/38789,0,1
13581319,entity/text/news/tweet/38789,0,1
33939124,entity/text/news/tweet/38789,0,1
33903622,entity/text/news/tweet/38789,0,1
33727304,entity/text/news/tweet/38789,0,1
33294824,entity/text/news/tweet/38789,1,0
24449707,entity/text/news/tweet/38789,0,1
32987272,entity/text/news/tweet/38789,0,1
19302668,entity/text/news/tweet/38789,0,1
33538351,entity/text/news/tweet/38789,1,0
32352104,entity/text/news/tweet/38789,1,0
27934334,entity/text/news/tweet/38789,1,0
13581319,entity/text/news/tweet/38789,1,0
29849805,entity/text/news/tweet/38789,1,0
4711962,entity/text/news/tweet/38789,1,0
20113482,entity/text/news/tweet/38789,1,0
15577915,entity/text/news/tweet/38789,1,0
33725995,entity/text/news/tweet/38789,1,0
33761260,entity/text/news/tweet/38789,1,0
32338429,entity/text/news/tweet/38789,1,0
27042527,entity/text/news/tweet/38789,1,0
30137403,entity/text/news/tweet/38789,1,0
19302668,entity/text/news/tweet/38789,1,0
17950689,entity/text/news/tweet/38789,1,0
29688905,entity/text/news/tweet/38789,1,0
32352104,entity/text/news/tweet/38789,1,0
27934334,entity/text/news/tweet/38789,1,0
13581319,entity/text/news/tweet/38789,1,0
29849805,entity/text/news/tweet/38789,1,0
4711962,entity/text/news/tweet/38789,1,0
20113482,entity/text/news/tweet/38789,1,0
15577915,entity/text/news/tweet/38789,1,0
33725995,entity/text/news/tweet/38789,1,0
33761260,entity/text/news/tweet/38789,1,0
32338429,entity/text/news/tweet/38789,1,0
27042527,entity/text/news/tweet/38789,1,0
30137403,entity/text/news/tweet/38789,1,0
19302668,entity/text/news/tweet/38789,1,0
17950689,entity/text/news/tweet/38789,1,0
29688905,entity/text/news/tweet/38789,1,0
32053642,entity/text/news/tweet/38893,1,0
25257275,entity/text/news/tweet/38893,1,0
29096504,entity/text/news/tweet/38893,1,0
28884030,entity/text/news/tweet/38893,0,1
15577915,entity/text/news/tweet/38893,1,0
21490235,entity/text/news/tweet/38893,1,0
29155723,entity/text/news/tweet/38893,1,0
33467170,entity/text/news/tweet/38893,1,0
22535866,entity/text/news/tweet/38893,1,0
30901412,entity/text/news/tweet/38893,1,0
4711962,entity/text/news/tweet/38893,1,0
6344072,entity/text/news/tweet/38893,1,0
3587109,entity/text/news/tweet/38893,1,0
33721948,entity/text/news/tweet/38893,1,0
29849805,entity/text/news/tweet/38893,1,0
32053642,entity/text/news/tweet/38893,1,0
25257275,entity/text/news/tweet/38893,1,0
29096504,entity/text/news/tweet/38893,1,0
28884030,entity/text/news/tweet/38893,0,1
15577915,entity/text/news/tweet/38893,1,0
21490235,entity/text/news/tweet/38893,1,0
29155723,entity/text/news/tweet/38893,1,0
33467170,entity/text/news/tweet/38893,1,0
22535866,entity/text/news/tweet/38893,1,0
30901412,entity/text/news/tweet/38893,1,0
4711962,entity/text/news/tweet/38893,1,0
