Tweet Id,Tweet Sent Id,Tweet Content,Tweet Date,Tweet Seed Event,,[Islands_disputed_between_China_and_Japan] Score,[Korean_MV_Sewol_ferry_sinking] Score,[Japan_whaling_and_dolphin_hunting] Score,[Davos_world_economic_forum_2014] Score,[Disappearance_of_Malaysia_Airlines_Flight_370] Score,[2014_anti-China_protests_in_Vietnam] Score,[Ukraine_crisis_2014] Score,[FIFA_worldcup_2014] Score,[NONE] Score,Clarity Event Type,,[Islands_disputed_between_China_and_Japan] Count,[Korean_MV_Sewol_ferry_sinking] Count,[Japan_whaling_and_dolphin_hunting] Count,[Davos_world_economic_forum_2014] Count,[Disappearance_of_Malaysia_Airlines_Flight_370] Count,[2014_anti-China_protests_in_Vietnam] Count,[Ukraine_crisis_2014] Count,[FIFA_worldcup_2014] Count,[NONE] Count,,Entire Tweet,No Relevant Spans,Relevant Span,Relevant Span Count,Relevant Span Score
1,26,National Anthems of Great Current Whaling Nations - South Korea - http://t.co/Zdx3ziLiV6 #Tweet4Taiji #SeaShepherd #thecove,4/29/2014,whaling,,0,0,0.45,0,0,0,0,0,0.89,0.89,,0,0,2,0,0,0,0,0,4,,1,1,,,
1,26,National Anthems of Great Current Whaling Nations - South Korea - http://t.co/Zdx3ziLiV6 #Tweet4Taiji #SeaShepherd #thecove,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whaling,2,1
2,24,Why Norway should just let whaling die - WDC http://t.co/4l8xvgvCcP,4/29/2014,whaling,,0,0,0.8,0,0,0,0,0,0.6,0.8,,0,0,4,0,0,0,0,0,3,,1,2,,,
2,24,Why Norway should just let whaling die - WDC http://t.co/4l8xvgvCcP,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,whaling,3,0.9486832981
2,24,Why Norway should just let whaling die - WDC http://t.co/4l8xvgvCcP,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,whaling die,1,0.316227766
3,25,RT @vivigarciatoro: Denounce Japan for Resuming Whale Slaughter - ForceChange http://t.co/P0GzWrdvGt,4/29/2014,whaling,,0,0,1,0,0,0,0,0,0,1,,0,0,6,0,0,0,0,0,0,,1,5,,,
3,25,RT @vivigarciatoro: Denounce Japan for Resuming Whale Slaughter - ForceChange http://t.co/P0GzWrdvGt,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whale Slaughter,3,0.4931969619
3,25,RT @vivigarciatoro: Denounce Japan for Resuming Whale Slaughter - ForceChange http://t.co/P0GzWrdvGt,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whale,1,0.1643989873
3,25,RT @vivigarciatoro: Denounce Japan for Resuming Whale Slaughter - ForceChange http://t.co/P0GzWrdvGt,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Resuming Whale Slaughter,1,0.1643989873
3,25,RT @vivigarciatoro: Denounce Japan for Resuming Whale Slaughter - ForceChange http://t.co/P0GzWrdvGt,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Denounce Japan for Resuming Whale Slaughter,1,0.1643989873
3,25,RT @vivigarciatoro: Denounce Japan for Resuming Whale Slaughter - ForceChange http://t.co/P0GzWrdvGt,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Japan,5,0.8219949365
4,28,Denounce Japan for Whale Slaughter - ForceChange http://t.co/XZ4ueUL4la,4/29/2014,whaling,,0,0,1,0,0,0,0,0,0,1,,0,0,7,0,0,0,0,0,0,,1,4,,,
4,28,Denounce Japan for Whale Slaughter - ForceChange http://t.co/XZ4ueUL4la,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whale Slaughter,4,0.5897678246
4,28,Denounce Japan for Whale Slaughter - ForceChange http://t.co/XZ4ueUL4la,4/29/2014,whaling,,,,,,,,,,,,,,,,,,,,,,,0,,Whale,2,0.2948839123
