worker_ID,tweet_ID,more_novel,equally_novel,less_novel,NA
32424428,entity/text/news/tweet/38585,0,1,0,0
33727304,entity/text/news/tweet/38585,0,1,0,0
8260660,entity/text/news/tweet/38585,0,0,1,0
6488338,entity/text/news/tweet/38585,0,0,1,0
33761260,entity/text/news/tweet/38585,0,1,0,0
18634892,entity/text/news/tweet/38585,0,0,1,0
33565158,entity/text/news/tweet/38585,0,1,0,0
28513920,entity/text/news/tweet/38585,0,0,0,1
22166359,entity/text/news/tweet/38585,0,0,1,0
20043586,entity/text/news/tweet/38585,0,0,1,0
8260660,entity/text/news/tweet/38585,0,0,1,0
6488338,entity/text/news/tweet/38585,0,0,1,0
33761260,entity/text/news/tweet/38585,1,0,0,0
18634892,entity/text/news/tweet/38585,0,0,1,0
33565158,entity/text/news/tweet/38585,0,1,0,0
22166359,entity/text/news/tweet/38585,0,0,1,0
28513920,entity/text/news/tweet/38585,0,1,0,0
30901412,entity/text/news/tweet/38585,0,0,1,0
20043586,entity/text/news/tweet/38585,0,0,1,0
9653950,entity/text/news/tweet/38585,0,0,1,0
8260660,entity/text/news/tweet/38670,0,1,0,0
6488338,entity/text/news/tweet/38670,0,1,0,0
33761260,entity/text/news/tweet/38670,0,0,1,0
18634892,entity/text/news/tweet/38670,0,0,1,0
33565158,entity/text/news/tweet/38670,0,0,1,0
28513920,entity/text/news/tweet/38670,0,0,0,1
22166359,entity/text/news/tweet/38670,0,0,1,0
30901412,entity/text/news/tweet/38670,1,0,0,0
20043586,entity/text/news/tweet/38670,0,0,1,0
8260660,entity/text/news/tweet/38670,0,1,0,0
6488338,entity/text/news/tweet/38670,0,1,0,0
33761260,entity/text/news/tweet/38670,1,0,0,0
18634892,entity/text/news/tweet/38670,0,0,1,0
33565158,entity/text/news/tweet/38670,0,0,1,0
28513920,entity/text/news/tweet/38670,0,1,0,0
22166359,entity/text/news/tweet/38670,0,0,1,0
30901412,entity/text/news/tweet/38670,1,0,0,0
20043586,entity/text/news/tweet/38670,0,0,1,0
32424428,entity/text/news/tweet/38794,0,0,1,0
33727304,entity/text/news/tweet/38794,1,0,0,0
8260660,entity/text/news/tweet/38794,0,1,0,0
6488338,entity/text/news/tweet/38794,0,0,1,0
33565158,entity/text/news/tweet/38794,0,1,0,0
33761260,entity/text/news/tweet/38794,0,0,1,0
18634892,entity/text/news/tweet/38794,0,0,1,0
28513920,entity/text/news/tweet/38794,0,0,0,1
22166359,entity/text/news/tweet/38794,1,0,0,0
20043586,entity/text/news/tweet/38794,0,0,1,0
8260660,entity/text/news/tweet/38794,0,1,0,0
6488338,entity/text/news/tweet/38794,0,1,0,0
33761260,entity/text/news/tweet/38794,1,0,0,0
18634892,entity/text/news/tweet/38794,1,0,0,0
33565158,entity/text/news/tweet/38794,0,1,0,0
28513920,entity/text/news/tweet/38794,0,0,0,1
22166359,entity/text/news/tweet/38794,1,0,0,0
30901412,entity/text/news/tweet/38794,0,0,1,0
20043586,entity/text/news/tweet/38794,0,0,1,0
20113482,entity/text/news/tweet/38775,0,0,1,0
28103910,entity/text/news/tweet/38775,0,1,0,0
20312760,entity/text/news/tweet/38775,0,0,1,0
24449707,entity/text/news/tweet/38775,1,0,0,0
31827582,entity/text/news/tweet/38775,1,0,0,0
11382239,entity/text/news/tweet/38775,0,0,1,0
14086483,entity/text/news/tweet/38775,0,1,0,0
18990100,entity/text/news/tweet/38775,0,0,1,0
19294877,entity/text/news/tweet/38775,0,1,0,0
31304413,entity/text/news/tweet/38775,1,0,0,0
15848372,entity/text/news/tweet/38775,0,1,0,0
33727304,entity/text/news/tweet/38775,1,0,0,0
20312760,entity/text/news/tweet/38775,0,0,1,0
28103910,entity/text/news/tweet/38775,0,1,0,0
20113482,entity/text/news/tweet/38775,0,0,1,0
24449707,entity/text/news/tweet/38775,0,0,1,0
31827582,entity/text/news/tweet/38775,1,0,0,0
11382239,entity/text/news/tweet/38775,0,0,1,0
14086483,entity/text/news/tweet/38775,1,0,0,0
18990100,entity/text/news/tweet/38775,1,0,0,0
19294877,entity/text/news/tweet/38775,0,1,0,0
31304413,entity/text/news/tweet/38775,1,0,0,0
15848372,entity/text/news/tweet/38775,1,0,0,0
32424428,entity/text/news/tweet/38775,1,0,0,0
20312760,entity/text/news/tweet/38805,0,0,1,0
28103910,entity/text/news/tweet/38805,0,1,0,0
20113482,entity/text/news/tweet/38805,0,0,1,0
24449707,entity/text/news/tweet/38805,0,0,1,0
31827582,entity/text/news/tweet/38805,1,0,0,0
11382239,entity/text/news/tweet/38805,0,0,1,0
14086483,entity/text/news/tweet/38805,0,1,0,0
18990100,entity/text/news/tweet/38805,1,0,0,0
19294877,entity/text/news/tweet/38805,0,1,0,0
31304413,entity/text/news/tweet/38805,0,0,1,0
15848372,entity/text/news/tweet/38805,0,1,0,0
33727304,entity/text/news/tweet/38805,0,1,0,0
32424428,entity/text/news/tweet/38805,1,0,0,0
33727304,entity/text/news/tweet/38805,1,0,0,0
8260660,entity/text/news/tweet/38805,0,1,0,0
6488338,entity/text/news/tweet/38805,0,0,1,0
33761260,entity/text/news/tweet/38805,1,0,0,0
33565158,entity/text/news/tweet/38805,0,1,0,0
18634892,entity/text/news/tweet/38805,0,0,1,0
28513920,entity/text/news/tweet/38805,0,0,0,1
22166359,entity/text/news/tweet/38805,1,0,0,0
20043586,entity/text/news/tweet/38805,0,1,0,0
20312760,entity/text/news/tweet/38820,0,0,1,0
28103910,entity/text/news/tweet/38820,0,1,0,0
20113482,entity/text/news/tweet/38820,0,0,1,0
24449707,entity/text/news/tweet/38820,0,1,0,0
31827582,entity/text/news/tweet/38820,1,0,0,0
11382239,entity/text/news/tweet/38820,0,0,1,0
14086483,entity/text/news/tweet/38820,0,1,0,0
18990100,entity/text/news/tweet/38820,0,0,1,0
19294877,entity/text/news/tweet/38820,0,1,0,0
31304413,entity/text/news/tweet/38820,0,0,1,0
15848372,entity/text/news/tweet/38820,0,1,0,0
32424428,entity/text/news/tweet/38820,0,0,1,0
20113482,entity/text/news/tweet/38820,0,0,1,0
28103910,entity/text/news/tweet/38820,0,1,0,0
20312760,entity/text/news/tweet/38820,0,0,1,0
24449707,entity/text/news/tweet/38820,0,0,1,0
31827582,entity/text/news/tweet/38820,1,0,0,0
11382239,entity/text/news/tweet/38820,0,0,1,0
14086483,entity/text/news/tweet/38820,0,1,0,0
18990100,entity/text/news/tweet/38820,0,0,1,0
19294877,entity/text/news/tweet/38820,0,1,0,0
31304413,entity/text/news/tweet/38820,0,0,1,0
15848372,entity/text/news/tweet/38820,0,1,0,0
20312760,entity/text/news/tweet/38895,0,0,1,0
28103910,entity/text/news/tweet/38895,0,1,0,0
20113482,entity/text/news/tweet/38895,0,0,1,0
24449707,entity/text/news/tweet/38895,1,0,0,0
31827582,entity/text/news/tweet/38895,1,0,0,0
11382239,entity/text/news/tweet/38895,0,0,1,0
14086483,entity/text/news/tweet/38895,0,1,0,0
18990100,entity/text/news/tweet/38895,0,0,1,0
31304413,entity/text/news/tweet/38895,0,0,1,0
19294877,entity/text/news/tweet/38895,0,1,0,0
15848372,entity/text/news/tweet/38895,0,1,0,0
32424428,entity/text/news/tweet/38895,0,0,1,0
20312760,entity/text/news/tweet/38895,0,0,1,0
28103910,entity/text/news/tweet/38895,0,1,0,0
20113482,entity/text/news/tweet/38895,0,0,1,0
24449707,entity/text/news/tweet/38895,1,0,0,0
31827582,entity/text/news/tweet/38895,0,0,0,1
11382239,entity/text/news/tweet/38895,0,0,1,0
14086483,entity/text/news/tweet/38895,0,1,0,0
18990100,entity/text/news/tweet/38895,1,0,0,0
19294877,entity/text/news/tweet/38895,0,1,0,0
31304413,entity/text/news/tweet/38895,0,0,1,0
15848372,entity/text/news/tweet/38895,0,0,1,0
32424428,entity/text/news/tweet/38895,1,0,0,0
20312760,entity/text/news/tweet/38940,0,0,1,0
28103910,entity/text/news/tweet/38940,0,1,0,0
20113482,entity/text/news/tweet/38940,0,0,1,0
24449707,entity/text/news/tweet/38940,1,0,0,0
31827582,entity/text/news/tweet/38940,1,0,0,0
11382239,entity/text/news/tweet/38940,0,0,1,0
14086483,entity/text/news/tweet/38940,0,1,0,0
18990100,entity/text/news/tweet/38940,1,0,0,0
19294877,entity/text/news/tweet/38940,0,1,0,0
